route_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
300-20589,300,"BRT Airport / City Centre",,3,,,
301-20573,301,"BRT North",,3,,,
301-20589,301,"BRT North",,3,,,
302-20573,302,"BRT Southeast",,3,,,
302-20589,302,"BRT Southeast",,3,,,
303-20573,303,"MAX Orange",,3,,,
303-20589,303,"MAX Orange",,3,,,
304-20573,304,"MAX Yellow",,3,,,
304-20589,304,"MAX Yellow",,3,,,
305-20573,305,"BRT Bowness",,3,,,
305-20589,305,"BRT Bowness",,3,,,
306-20573,306,"MAX Teal",,3,,,
306-20589,306,"MAX Teal",,3,,,
307-20573,307,"MAX Purple",,3,,,
307-20589,307,"MAX Purple",,3,,,
402-20573,402,"Silverado",,3,,,
402-20589,402,"Silverado",,3,,,
404-20573,404,"North Hill",,3,,,
404-20589,404,"North Hill",,3,,,
406-20573,406,"Auburn Bay",,3,,,
406-20589,406,"Auburn Bay",,3,,,
408-20573,408,"Valley Ridge",,3,,,
408-20589,408,"Valley Ridge",,3,,,
414-20573,414,"14 Street Crosstown",,3,,,
414-20589,414,"14 Street Crosstown",,3,,,
421-20573,421,"Panatella",,3,,,
421-20589,421,"Panatella",,3,,,
422-20573,422,"Dalhousie-Montgomery",,3,,,
422-20589,422,"Dalhousie-Montgomery",,3,,,
430-20573,430,"Sandstone / North Pointe",,3,,,
430-20589,430,"Sandstone / North Pointe",,3,,,
439-20573,439,"Discovery Ridge",,3,,,
439-20589,439,"Discovery Ridge",,3,,,
440-20573,440,"Chateau Estates / Franklin",,3,,,
440-20589,440,"Chateau Estates / Franklin",,3,,,
444-20573,444,"Chaparral Valley/ Walden",,3,,,
444-20589,444,"Chaparral Valley/ Walden",,3,,,
449-20573,449,"Eau Claire - Parkhill",,3,,,
449-20589,449,"Eau Claire - Parkhill",,3,,,
453-20573,453,"West Springs",,3,,,
453-20589,453,"West Springs",,3,,,
454-20573,454,"Springbank Hill",,3,,,
454-20589,454,"Springbank Hill",,3,,,
468-20573,468,"Cranston / Mahogany",,3,,,
468-20589,468,"Cranston / Mahogany",,3,,,
490-20573,490,"P/U Bus from NW to Stoney",,3,,,
490-20589,490,"P/U Bus from NW to Stoney",,3,,,
496-20573,496,"P/U Bus SE to SG & SF",,3,,,
496-20589,496,"P/U Bus SE to SG & SF",,3,,,
497-20573,497,"P/U Bus South SB, AG, VP to SG 440",,3,,,
497-20589,497,"P/U Bus South SB, AG, VP to SG 440",,3,,,
499-20573,499,"Take-home Bus - Weekdays",,3,,,
499-20589,499,"Take-home Bus - Weekdays",,3,,,
502-20573,502,"Heritage Park Shuttle",,3,,,
502-20589,502,"Heritage Park Shuttle",,3,,,
555-20573,555,"Dashmesh Centre",,3,,,
555-20589,555,"Dashmesh Centre",,3,,,
627-20573,627,"Columbia College",,3,,,
627-20589,627,"Columbia College",,3,,,
695-20573,695,"St Francis/ Valley Ridge",,3,,,
695-20589,695,"St Francis/ Valley Ridge",,3,,,
698-20573,698,"17th Ave/Western Canada/St. Mary's",,3,,,
698-20589,698,"17th Ave/Western Canada/St. Mary's",,3,,,
699-20573,699,"West Springs/various schools",,3,,,
699-20589,699,"West Springs/various schools",,3,,,
702-20573,702,"Churchill/Nolan Hill",,3,,,
702-20589,702,"Churchill/Nolan Hill",,3,,,
703-20573,703,"Churchill/Sherwood",,3,,,
703-20589,703,"Churchill/Sherwood",,3,,,
704-20573,704,"Churchill/Edgepark Blvd",,3,,,
704-20589,704,"Churchill/Edgepark Blvd",,3,,,
705-20573,705,"Churchill/Edgebrook Rise",,3,,,
705-20589,705,"Churchill/Edgebrook Rise",,3,,,
706-20573,706,"Churchill/Edenwold Dr",,3,,,
706-20589,706,"Churchill/Edenwold Dr",,3,,,
711-20573,711,"Beaverbrook/Douglasglen",,3,,,
711-20589,711,"Beaverbrook/Douglasglen",,3,,,
712-20573,712,"Beaverbrook/Parkland",,3,,,
712-20589,712,"Beaverbrook/Parkland",,3,,,
713-20573,713,"Beaverbrook/Deer Run",,3,,,
713-20589,713,"Beaverbrook/Deer Run",,3,,,
715-20573,715,"Beaverbrook/Queensland",,3,,,
715-20589,715,"Beaverbrook/Queensland",,3,,,
719-20573,719,"Beaverbrook/McKenzie",,3,,,
719-20589,719,"Beaverbrook/McKenzie",,3,,,
721-20573,721,"Bowness/ Valley Ridge",,3,,,
721-20589,721,"Bowness/ Valley Ridge",,3,,,
722-20573,722,"Bowness/ Tuscany Ravine",,3,,,
722-20589,722,"Bowness/ Tuscany Ravine",,3,,,
723-20573,723,"Bowness/Tuscany Hills",,3,,,
723-20589,723,"Bowness/Tuscany Hills",,3,,,
724-20573,724,"Bowness/Tuscany North",,3,,,
724-20589,724,"Bowness/Tuscany North",,3,,,
725-20573,725,"Bowness/Silver Springs",,3,,,
725-20589,725,"Bowness/Silver Springs",,3,,,
731-20573,731,"Central Memorial/Riverbend",,3,,,
731-20589,731,"Central Memorial/Riverbend",,3,,,
732-20573,732,"Central Memorial/Glamorgan",,3,,,
732-20589,732,"Central Memorial/Glamorgan",,3,,,
733-20573,733,"Central Memorial/Lakeview",,3,,,
733-20589,733,"Central Memorial/Lakeview",,3,,,
734-20573,734,"Central Memorial/Ogden",,3,,,
734-20589,734,"Central Memorial/Ogden",,3,,,
735-20573,735,"Central Memorial/North Ogden",,3,,,
735-20589,735,"Central Memorial/North Ogden",,3,,,
736-20573,736,"Diefenbaker/Panorama Hills",,3,,,
736-20589,736,"Diefenbaker/Panorama Hills",,3,,,
737-20573,737,"Diefenbaker/ Harvest Hills",,3,,,
737-20589,737,"Diefenbaker/ Harvest Hills",,3,,,
738-20573,738,"Diefenbaker/Panorama Hills North",,3,,,
738-20589,738,"Diefenbaker/Panorama Hills North",,3,,,
739-20573,739,"Diefenbaker/Panorama Hills",,3,,,
